,0
0,1972
1,
2,1963
3,1950
4,1948
5,1950
6,1949
7,1950
8,1951
9,1951
10,1951
11,
12,1952
13,1946
14,1954
15,1951
16,1951
17,1950
18,1951
19,
20,1952
21,1952
22,
23,1952
24,1963
25,
26,1952
27,1965
28,1960
29,1951
30,
31,
32,
33,1969
34,
35,1954
36,1953
37,1954
38,
39,1954
40,1959
41,1953
42,1953
43,
44,1953
45,1954
46,
47,1955
48,1955
49,1955
50,1955
51,1955
52,
53,1955
54,1955
55,1956
56,1978
57,1956
58,1958
59,1955
60,1955
61,1956
62,1956
63,
64,1956
65,1969
66,1956
67,1956
68,1959
69,1964
70,
71,1945
72,
73,1956
74,1974
75,1978
76,1956
77,1956
78,1965
79,
80,1956
81,
82,
83,1956
84,
85,
86,
87,
88,
89,
90,
91,1957
92,
93,1957
94,1956
95,1957
96,
97,1957
98,1957
99,1957
100,
101,1957
102,
103,1957
104,1957
105,1957
106,
107,
108,
109,
110,
111,
112,1957
113,
114,
115,1957
116,
117,1957
118,1956
119,
120,1956
121,
122,
123,
124,
125,
126,1957
127,1957
128,1957
129,1958
130,1957
131,1957
132,
133,
134,1957
135,1962
136,1951
137,
138,
139,1958
140,1958
141,
142,1959
143,1958
144,1958
145,1958
146,1957
147,1958
148,1958
149,1957
150,1957
151,1957
152,1957
153,1958
154,
155,1958
156,1958
157,1957
158,1958
159,1958
160,
161,
162,
163,1958
164,1958
165,1958
166,
167,
168,1987
169,
170,
171,
172,1958
173,1958
174,1958
175,1959
176,1959
177,1959
178,1959
179,1959
180,
181,1958
182,1958
183,1959
184,1959
185,1959
186,1959
187,1958
188,1959
189,1959
190,
191,
192,
193,1959
194,
195,
196,1959
197,1958
198,1957
199,1959
200,1958
201,
202,
203,
204,
205,1958
206,1958
207,1959
208,1959
209,1958
210,1959
211,
212,
213,1960
214,1970
215,1960
216,1960
217,1960
218,1960
219,1959
220,1960
221,
222,1962
223,
224,
225,
226,
227,1959
228,1958
229,1959
230,
231,
232,
233,
234,
235,
236,1959
237,1959
238,1960
239,1960
240,1960
241,1959
242,1960
243,1960
244,1960
245,1960
246,1960
247,
248,1960
249,1960
250,1979
251,1960
252,1960
253,
254,1961
255,1960
256,
257,
258,
259,
260,
261,
262,
263,
264,
265,1961
266,
267,1961
268,1991
269,1961
270,1961
271,1961
272,1961
273,1961
274,1961
275,1960
276,1961
277,1961
278,1961
279,1961
280,1961
281,1961
282,1960
283,1961
284,1961
285,1961
286,1961
287,
288,1961
289,1960
290,
291,1960
292,
293,1960
294,1961
295,1961
296,
297,1962
298,1962
299,1962
300,1961
301,
302,
303,1962
304,1962
305,1962
306,1962
307,1962
308,1962
309,1962
310,1962
311,1962
312,1961
313,
314,1961
315,1961
316,1962
317,1962
318,1971
319,
320,1962
321,1962
